"Term","Section","Former","Title","Credits","Instructional Method","Location","Start Date","End Date","Meeting Days","Start Time","End Time","Instructor(s)","Seats Remaining","GERS","Purpose","Prequisites","Notes","Sort","Courses ID"
"Spring 2017 - Day","ART-130-02","ART-26","History of Western Art I", 4.0,"EXAM","RAB LLR","04/27/17","04/27/17","R","12:00PM","02:30PM","",1,"VP","undergraduate day","","","2","2654"
"Spring 2017 - Day","ART-131-01","ART-26","History of Western Art II", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Sarah Archino","FULL","VP","undergraduate day","","","1","2655"
"Spring 2017 - Day","ART-131-01","ART-26","History of Western Art II", 4.0,"EXAM","RAB LLR","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","VP","undergraduate day","","","2","2655"
"Spring 2017 - Day","ART-131-02","ART-26","History of Western Art II", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Razan Francis",16,"VP","undergraduate day","","","1","2655"
"Spring 2017 - Day","ART-131-02","ART-26","History of Western Art II", 4.0,"EXAM","RAB LLR","05/02/17","05/02/17","T","12:00PM","02:30PM","",16,"VP","undergraduate day","","","2","2655"
"Spring 2017 - Day","ART-201-01","ART-41","Ceramics II", 4.0,"STU","RAB CRS","01/09/17","04/25/17","TR","10:00AM","11:50AM","Dr. Bob Chance",2,"","undergraduate day","ART-112","instructor permission now required","1","2657"
"Spring 2017 - Day","ART-201-01","ART-41","Ceramics II", 4.0,"EXAM","RAB CRS","05/02/17","05/02/17","T","08:30AM","11:00AM","",2,"","undergraduate day","ART-112","instructor permission now required","2","2657"
"Spring 2017 - Day","ART-201-02","ART-41","Ceramics II", 4.0,"STU","RAB CRS","01/09/17","04/25/17","TR","01:00PM","02:50PM","Dr. Bob Chance",9,"","undergraduate day","ART-112","instructor permission required","1","2657"
"Spring 2017 - Day","ART-201-02","ART-41","Ceramics II", 4.0,"EXAM","RAB CRS","05/02/17","05/02/17","T","12:00PM","02:30PM","",9,"","undergraduate day","ART-112","instructor permission required","2","2657"
"Spring 2017 - Day","ART-204-01","ART-42","Painting II", 4.0,"STU","RAB PTS","01/09/17","04/25/17","MR","02:30PM","04:20PM","Mr. Michael Brodeur",10,"","undergraduate day","ART-113 and ART-124","","1","2662"
"Spring 2017 - Day","ART-204-01","ART-42","Painting II", 4.0,"EXAM","RAB PTS","05/01/17","05/01/17","M","03:30PM","06:00PM","",10,"","undergraduate day","ART-113 and ART-124","","2","2662"
"Spring 2017 - Day","ART-205-01","ART-33","Photography I", 4.0,"STU","RAB SMR","01/09/17","04/25/17","MW","11:30AM","01:20PM","Professor Terri L. Bright","FULL","VP","undergraduate day","ART-111","","1","2663"
"Spring 2017 - Day","ART-205-01","ART-33","Photography I", 4.0,"ADD","RAB PHS","01/09/17","04/25/17","","","","","FULL","VP","undergraduate day","ART-111","","2","2663"
"Spring 2017 - Day","ART-205-01","ART-33","Photography I", 4.0,"EXAM","RAB SMR","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","VP","undergraduate day","ART-111","","3","2663"
"Spring 2017 - Day","ART-206-01","ART-43","Color & Digital Photography", 4.0,"STU","RAB SMR","01/09/17","04/25/17","MW","09:30AM","11:20AM","Professor Terri L. Bright",2,"","undergraduate day","ART-205","","1","2664"
"Spring 2017 - Day","ART-206-01","ART-43","Color & Digital Photography", 4.0,"ADD","RAB PHS","01/09/17","04/25/17","","","","",2,"","undergraduate day","ART-205","","2","2664"
"Spring 2017 - Day","ART-206-01","ART-43","Color & Digital Photography", 4.0,"EXAM","RAB SMR","05/01/17","05/01/17","M","08:30AM","11:00AM","",2,"","undergraduate day","ART-205","","3","2664"
"Spring 2017 - Day","ART-207-01","ART-34","Printmaking I", 4.0,"STU","RAB PRS","01/09/17","04/25/17","MW","01:30PM","03:20PM","Mr. Jeremy R. Cody","FULL","","undergraduate day","ART-113 AND ART-125","","1","2665"
"Spring 2017 - Day","ART-207-01","ART-34","Printmaking I", 4.0,"EXAM","RAB PRS","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","","undergraduate day","ART-113 AND ART-125","","2","2665"
"Spring 2017 - Day","ART-221-01","ART-50","Graphic Design II", 4.0,"STU","RAB DSS","01/09/17","04/25/17","MW","11:30AM","01:20PM","Jennifer A. Bernabe","FULL","","undergraduate day","ART-111","","1","2669"
"Spring 2017 - Day","ART-221-01","ART-50","Graphic Design II", 4.0,"EXAM","RAB DSS","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","","undergraduate day","ART-111","","2","2669"
"Spring 2017 - Day","ART-234-01","ART-46","Erly Christian & Byzantine Art", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","TR","08:30AM","09:45AM","Dr. Carolyn Watson",12,"VP","undergraduate day","","","1","2674"
"Spring 2017 - Day","ART-234-01","ART-46","Erly Christian & Byzantine Art", 4.0,"EXAM","RAB LLR","04/27/17","04/27/17","R","08:30AM","11:00AM","",12,"VP","undergraduate day","","","2","2674"
"Spring 2017 - Day","ART-245-01","","Nineteenth Century Art", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Sarah Archino",10,"VP","undergraduate day","","","1","5641"
"Spring 2017 - Day","ART-245-01","","Nineteenth Century Art", 4.0,"EXAM","RAB LLR","05/03/17","05/03/17","W","08:30AM","11:00AM","",10,"VP","undergraduate day","","","2","5641"
"Spring 2017 - Day","ART-280-01","","Islamic Art and Architecture", 4.0,"STU","RAB SMR","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Razan Francis",10,"","undergraduate day","","","1","5771"
"Spring 2017 - Day","ART-280-01","","Islamic Art and Architecture", 4.0,"EXAM","RAB SMR","04/27/17","04/27/17","R","12:00PM","02:30PM","",10,"","undergraduate day","","","2","5771"
"Spring 2017 - Day","ART-300-01","ART-51","Ceramics & Sculpture III", 4.0,"STU","RAB CRS","01/09/17","04/25/17","TR","01:00PM","02:50PM","Dr. Bob Chance","FULL","","undergraduate day","ART-200, ART-201 and ART-210","instructor permission required","1","2682"
"Spring 2017 - Day","ART-300-01","ART-51","Ceramics & Sculpture III", 4.0,"EXAM","RAB CRS","05/02/17","05/02/17","T","12:00PM","02:30PM","","FULL","","undergraduate day","ART-200, ART-201 and ART-210","instructor permission required","2","2682"
"Spring 2017 - Day","ART-302-01","ART-52","Painting III", 4.0,"STU","RAB PTS","01/09/17","04/25/17","MR","02:30PM","04:20PM","Mr. Michael Brodeur",10,"","undergraduate day","ART-204","","1","2684"
"Spring 2017 - Day","ART-302-01","ART-52","Painting III", 4.0,"EXAM","RAB PTS","05/01/17","05/01/17","M","03:30PM","06:00PM","",10,"","undergraduate day","ART-204","","2","2684"
"Spring 2017 - Day","ART-303-01","ART-53","Photographic Essay", 4.0,"STU","RAB SMR","01/09/17","04/25/17","TR","09:30AM","11:20AM","Professor Terri L. Bright",7,"","undergraduate day","ART-206","","1","2685"
"Spring 2017 - Day","ART-303-01","ART-53","Photographic Essay", 4.0,"ADD","RAB PHS","01/09/17","04/25/17","","","","",7,"","undergraduate day","ART-206","","2","2685"
"Spring 2017 - Day","ART-303-01","ART-53","Photographic Essay", 4.0,"EXAM","RAB SMR","04/27/17","04/27/17","R","08:30AM","11:00AM","",7,"","undergraduate day","ART-206","","3","2685"
"Spring 2017 - Day","ART-320-01","ART-40","Advertising Design", 4.0,"STU","RAB DSS","01/09/17","04/25/17","TR","09:30AM","11:20AM","Mr. William David R. McClain","FULL","","undergraduate day","ART-111","","1","2686"
"Spring 2017 - Day","ART-320-01","ART-40","Advertising Design", 4.0,"EXAM","RAB DSS","04/27/17","04/27/17","R","08:30AM","11:00AM","","FULL","","undergraduate day","ART-111","","2","2686"
"Spring 2017 - Day","ART-321-01","","Graphic Design III", 4.0,"STU","RAB DSS","01/09/17","04/25/17","MW","11:30AM","01:20PM","Mr. William David R. McClain",7,"","undergraduate day","ART-221","","1","2687"
"Spring 2017 - Day","ART-321-01","","Graphic Design III", 4.0,"EXAM","RAB DSS","05/03/17","05/03/17","W","12:00PM","02:30PM","",7,"","undergraduate day","ART-221","","2","2687"
"Spring 2017 - Day","AST-270-01","","Languages of Asia", 4.0,"LEC","FUR 118","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Alexander T. Francis-Ratte",3,"HB WC","undergraduate day","LNG-210 or an Asian language course","","1","5270"
"Spring 2017 - Day","AST-270-01","","Languages of Asia", 4.0,"EXAM","FUR 118","05/01/17","05/01/17","M","08:30AM","11:00AM","",3,"HB WC","undergraduate day","LNG-210 or an Asian language course","","2","5270"
"Spring 2017 - Day","AST-300-01","","Colloquium", 2.0,"SEM","FUR 209","01/09/17","04/25/17","T","02:30PM","04:00PM","Dr. Tami Blumenfield",7,"","undergraduate day","","instructor permission required","1","4309"
"Spring 2017 - Day","AST-300-01","","Colloquium", 2.0,"EXAM","FUR 209","04/28/17","04/28/17","F","03:30PM","06:00PM","",7,"","undergraduate day","","instructor permission required","2","4309"
"Spring 2017 - Day","AST-470-01","AS-75","Seminar in Asian Studies", 4.0,"SEM","FUR 204","01/09/17","04/25/17","R","02:30PM","05:00PM","Dr. Lane J. Harris",8,"","undergraduate day","","","1","2695"
"Spring 2017 - Day","AST-470-01","AS-75","Seminar in Asian Studies", 4.0,"EXAM","FUR 204","05/01/17","05/01/17","M","03:30PM","06:00PM","",8,"","undergraduate day","","","2","2695"
"Spring 2017 - Day","BIO-075-01","BIO-75","Seminar in Biology", 0.0,"SEM","PYR 143","01/09/17","04/25/17","T","11:30AM","12:45PM","Dr. Gregory Paul Lewis",9,"","undergraduate day","","","1","2700"
"Spring 2017 - Day","BIO-075-01","BIO-75","Seminar in Biology", 0.0,"EXAM","PYR 143","04/27/17","04/27/17","R","12:00PM","02:30PM","",9,"","undergraduate day","","","2","2700"
"Spring 2017 - Day","BIO-075-02","BIO-75","Seminar in Biology", 0.0,"SEM","PYR 143","01/09/17","04/25/17","R","11:30AM","12:45PM","Dr. Linnea Freeman",5,"","undergraduate day","","","1","2700"
"Spring 2017 - Day","BIO-075-02","BIO-75","Seminar in Biology", 0.0,"EXAM","PYR 143","04/27/17","04/27/17","R","12:00PM","02:30PM","",5,"","undergraduate day","","","2","2700"
"Spring 2017 - Day","BIO-101-01","BIO-16","Principles of Biology", 4.0,"LEC","PYR 028","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Vicky Turgeon",13,"NWL","undergraduate day","","","1","2701"
"Spring 2017 - Day","BIO-101-01","BIO-16","Principles of Biology", 4.0,"LAB","PYR 141","01/09/17","04/25/17","R","02:30PM","05:20PM","Dr. Vicky Turgeon",13,"NWL","undergraduate day","","","2","2701"
"Spring 2017 - Day","BIO-101-01","BIO-16","Principles of Biology", 4.0,"EXAM","PYR 028","05/01/17","05/01/17","M","12:00PM","02:30PM","",13,"NWL","undergraduate day","","","3","2701"
"Spring 2017 - Day","BIO-102-01","BIO-16","Biology and the Environment", 4.0,"LEC","PYR 126","01/09/17","04/25/17","TR","08:30AM","09:45AM","Dr. Travis W. Perry","FULL","NWL NE","undergraduate day","","","1","2702"
"Spring 2017 - Day","BIO-102-01","BIO-16","Biology and the Environment", 4.0,"LAB","PYR 141","01/09/17","04/25/17","T","02:30PM","05:20PM","Dr. Travis W. Perry","FULL","NWL NE","undergraduate day","","","2","2702"
"Spring 2017 - Day","BIO-102-01","BIO-16","Biology and the Environment", 4.0,"EXAM","PYR 126","04/27/17","04/27/17","R","08:30AM","11:00AM","","FULL","NWL NE","undergraduate day","","","3","2702"
"Spring 2017 - Day","BIO-102-03","BIO-16","Biology and the Environment", 4.0,"LEC","PYR 126","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. John E. Quinn","FULL","NWL NE","undergraduate day","","","1","2702"
"Spring 2017 - Day","BIO-102-03","BIO-16","Biology and the Environment", 4.0,"LAB","PYR 141","01/09/17","04/25/17","M","02:30PM","05:20PM","Dr. John E. Quinn","FULL","NWL NE","undergraduate day","","","2","2702"
"Spring 2017 - Day","BIO-102-03","BIO-16","Biology and the Environment", 4.0,"EXAM","PYR 126","05/02/17","05/02/17","T","12:00PM","02:30PM","","FULL","NWL NE","undergraduate day","","","3","2702"
"Spring 2017 - Day","BIO-111-01","BIO-11","Foundations of Biology", 4.0,"LEC","PYR 028","01/09/17","04/25/17","TR","08:30AM","09:45AM","Dr. David M. Hollis",10,"NWL","undergraduate day","","","1","2703"
"Spring 2017 - Day","BIO-111-01","BIO-11","Foundations of Biology", 4.0,"LAB","PYR 142","01/09/17","04/25/17","M","02:30PM","05:20PM","Dr. David M. Hollis",10,"NWL","undergraduate day","","","2","2703"
"Spring 2017 - Day","BIO-111-01","BIO-11","Foundations of Biology", 4.0,"EXAM","PYR 028","04/27/17","04/27/17","R","08:30AM","11:00AM","",10,"NWL","undergraduate day","","","3","2703"
"Spring 2017 - Day","BIO-111-02","BIO-11","Foundations of Biology", 4.0,"LEC","PYR 126","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Dr. Wade Worthen",13,"NWL","undergraduate day","","","1","2703"
"Spring 2017 - Day","BIO-111-02","BIO-11","Foundations of Biology", 4.0,"LAB","PYR 142","01/09/17","04/25/17","T","02:30PM","05:20PM","Dr. Wade Worthen",13,"NWL","undergraduate day","","","2","2703"
"Spring 2017 - Day","BIO-111-02","BIO-11","Foundations of Biology", 4.0,"EXAM","PYR 126","04/28/17","04/28/17","F","08:30AM","11:00AM","",13,"NWL","undergraduate day","","","3","2703"
"Spring 2017 - Day","BIO-111-03","BIO-11","Foundations of Biology", 4.0,"LEC","PYR 126","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Wade Worthen",2,"NWL","undergraduate day","","","1","2703"
"Spring 2017 - Day","BIO-111-03","BIO-11","Foundations of Biology", 4.0,"LAB","PYR 142","01/09/17","04/25/17","R","02:30PM","05:20PM","Dr. Wade Worthen",2,"NWL","undergraduate day","","","2","2703"
"Spring 2017 - Day","BIO-111-03","BIO-11","Foundations of Biology", 4.0,"EXAM","PYR 126","05/01/17","05/01/17","M","08:30AM","11:00AM","",2,"NWL","undergraduate day","","","3","2703"
"Spring 2017 - Day","BIO-111-04","BIO-11","Foundations of Biology", 4.0,"LEC","PYR 126","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Joe Pollard","FULL","NWL","undergraduate day","","","1","2703"
"Spring 2017 - Day","BIO-111-04","BIO-11","Foundations of Biology", 4.0,"LAB","PYR 142","01/09/17","04/25/17","W","02:30PM","05:20PM","","FULL","NWL","undergraduate day","","","2","2703"
"Spring 2017 - Day","BIO-111-04","BIO-11","Foundations of Biology", 4.0,"EXAM","PYR 126","05/02/17","05/02/17","T","08:30AM","11:00AM","","FULL","NWL","undergraduate day","","","3","2703"
"Spring 2017 - Day","BIO-221-01","BIO-21","Genetics", 4.0,"LEC","PYR 143","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Mara Robu","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","instructor permission required for registration","1","2705"
"Spring 2017 - Day","BIO-221-01","BIO-21","Genetics", 4.0,"LAB","TNS 172","01/09/17","04/25/17","M","02:30PM","05:20PM","Dr. Mara Robu","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","instructor permission required for registration","2","2705"
"Spring 2017 - Day","BIO-221-01","BIO-21","Genetics", 4.0,"EXAM","PYR 143","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","instructor permission required for registration","3","2705"
"Spring 2017 - Day","BIO-221-02","BIO-21","Genetics", 4.0,"LEC","PYR 143","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Mara Robu","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","1","2705"
"Spring 2017 - Day","BIO-221-02","BIO-21","Genetics", 4.0,"LAB","TNS 172","01/09/17","04/25/17","W","02:30PM","05:20PM","","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","2","2705"
"Spring 2017 - Day","BIO-221-02","BIO-21","Genetics", 4.0,"EXAM","PYR 143","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","3","2705"
"Spring 2017 - Day","BIO-221-03","BIO-21","Genetics", 4.0,"LEC","PYR 143","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Dr. Min-Ken Liao","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","1","2705"
"Spring 2017 - Day","BIO-221-03","BIO-21","Genetics", 4.0,"LAB","TNS 172","01/09/17","04/25/17","T","02:30PM","05:20PM","Dr. Min-Ken Liao","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","2","2705"
"Spring 2017 - Day","BIO-221-03","BIO-21","Genetics", 4.0,"EXAM","PYR 143","04/28/17","04/28/17","F","08:30AM","11:00AM","","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","3","2705"
"Spring 2017 - Day","BIO-221-04","BIO-21","Genetics", 4.0,"LEC","PYR 026","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Jeffrey W. Foltz","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","1","2705"
"Spring 2017 - Day","BIO-221-04","BIO-21","Genetics", 4.0,"LAB","TNS 172","01/09/17","04/25/17","R","02:30PM","05:20PM","Dr. Jeffrey W. Foltz","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","2","2705"
"Spring 2017 - Day","BIO-221-04","BIO-21","Genetics", 4.0,"EXAM","PYR 026","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","","undergraduate day","BIO-111, BIO-101 or BIO-102","","3","2705"
"Spring 2017 - Day","BIO-222-01","BIO-22","Research and Analysis", 4.0,"LEC","PYR 131","01/09/17","04/25/17","TR","08:30AM","09:45AM","Dr. Gregory Paul Lewis","FULL","","undergraduate day","any BIO course enrolled at Furman","instructor permission now required","1","2706"
"Spring 2017 - Day","BIO-222-01","BIO-22","Research and Analysis", 4.0,"LAB","PYR 131","01/09/17","04/25/17","R","02:30PM","05:20PM","Dr. Gregory Paul Lewis","FULL","","undergraduate day","any BIO course enrolled at Furman","instructor permission now required","2","2706"
"Spring 2017 - Day","BIO-222-01","BIO-22","Research and Analysis", 4.0,"EXAM","PYR 131","04/27/17","04/27/17","R","08:30AM","11:00AM","","FULL","","undergraduate day","any BIO course enrolled at Furman","instructor permission now required","3","2706"
"Spring 2017 - Day","BIO-222-02","BIO-22","Research and Analysis", 4.0,"LEC","PYR 131","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Vicky Turgeon","FULL","","undergraduate day","any BIO course enrolled at Furman","","1","2706"
"Spring 2017 - Day","BIO-222-02","BIO-22","Research and Analysis", 4.0,"LAB","PYR 131","01/09/17","04/25/17","T","02:30PM","05:20PM","Dr. Vicky Turgeon","FULL","","undergraduate day","any BIO course enrolled at Furman","","2","2706"
